Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Gini index,SI.POV.GINI,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,
